"","id","final_result","avg_date_reg"
"1","AAA 2013J","Distinction",-93.4
"2","AAA 2013J","Fail",-54.4
"3","AAA 2013J","Pass",-79.6744186046512
"4","AAA 2013J","Withdrawn",-82.65
"5","AAA 2014J","Distinction",-79.125
"6","AAA 2014J","Fail",-56.8913043478261
"7","AAA 2014J","Pass",-77.2794759825327
"8","AAA 2014J","Withdrawn",-80.4242424242424
"9","BBB 2013B","Distinction",-52.1290322580645
"10","BBB 2013B","Fail",-55.2336244541485
"11","BBB 2013B","Pass",-58.1527777777778
"12","BBB 2013B","Withdrawn",-66.8138613861386
"13","BBB 2013J","Distinction",-61.3522727272727
"14","BBB 2013J","Fail",-63.1516314779271
"15","BBB 2013J","Pass",-65.6997767857143
"16","BBB 2013J","Withdrawn",-83.5202492211838
"17","BBB 2014B","Distinction",-73.8433734939759
"18","BBB 2014B","Fail",-71.8914141414141
"19","BBB 2014B","Pass",-67.3458110516934
"20","BBB 2014B","Withdrawn",-87.9010309278351
"21","BBB 2014J","Distinction",-60.8944444444444
"22","BBB 2014J","Fail",-63.772378516624
"23","BBB 2014J","Pass",-68.8220164609053
"24","BBB 2014J","Withdrawn",-74.4625668449198
"25","CCC 2014B","Distinction",-71.9166666666667
"26","CCC 2014B","Fail",-74.9813333333333
"27","CCC 2014B","Pass",-84.4628450106157
"28","CCC 2014B","Withdrawn",-102.931690929451
"29","CCC 2014J","Distinction",-61.8790849673203
"30","CCC 2014J","Fail",-59.4975369458128
"31","CCC 2014J","Pass",-64.066384180791
"32","CCC 2014J","Withdrawn",-70.9069767441861
"33","DDD 2013B","Distinction",-61
"34","DDD 2013B","Fail",-54.9610027855153
"35","DDD 2013B","Pass",-61.2390350877193
"36","DDD 2013B","Withdrawn",-63.9604651162791
"37","DDD 2013J","Distinction",-93.0408163265306
"38","DDD 2013J","Fail",-87.9392523364486
"39","DDD 2013J","Pass",-84.1928864569083
"40","DDD 2013J","Withdrawn",-91.948224852071
"41","DDD 2014B","Distinction",-64.546218487395
"42","DDD 2014B","Fail",-57.4767441860465
"43","DDD 2014B","Pass",-61.3805555555556
"44","DDD 2014B","Withdrawn",-77.6864754098361
"45","DDD 2014J","Distinction",-75.4107142857143
"46","DDD 2014J","Fail",-69.8104395604396
"47","DDD 2014J","Pass",-76.1382352941176
"48","DDD 2014J","Withdrawn",-77.8369565217391
"49","EEE 2013J","Distinction",-68.259842519685
"50","EEE 2013J","Fail",-71.88
"51","EEE 2013J","Pass",-69.9896265560166
"52","EEE 2013J","Withdrawn",-86.0829875518672
"53","EEE 2014B","Distinction",-59.1944444444444
"54","EEE 2014B","Fail",-59.75
"55","EEE 2014B","Pass",-61.8245614035088
"56","EEE 2014B","Withdrawn",-75.150289017341
"57","EEE 2014J","Distinction",-62.1337579617834
"58","EEE 2014J","Fail",-55.3787878787879
"59","EEE 2014J","Pass",-54.842504743833
"60","EEE 2014J","Withdrawn",-72.7908496732026
"61","FFF 2013B","Distinction",-58.7203389830508
"62","FFF 2013B","Fail",-58.1952380952381
"63","FFF 2013B","Pass",-58.0572289156626
"64","FFF 2013B","Withdrawn",-65.5085574572127
"65","FFF 2013J","Distinction",-76.5401069518717
"66","FFF 2013J","Fail",-70.056530214425
"67","FFF 2013J","Pass",-79.0693832599119
"68","FFF 2013J","Withdrawn",-83.9910979228487
"69","FFF 2014B","Distinction",-70.2523364485981
"70","FFF 2014B","Fail",-61.953125
"71","FFF 2014B","Pass",-58.2979890310786
"72","FFF 2014B","Withdrawn",-79.4617067833698
"73","FFF 2014J","Distinction",-67.0852713178295
"74","FFF 2014J","Fail",-64.0152671755725
"75","FFF 2014J","Pass",-66.7229336437718
"76","FFF 2014J","Withdrawn",-71.6576787807737
"77","GGG 2013J","Distinction",-72.3758865248227
"78","GGG 2013J","Fail",-52.0034013605442
"79","GGG 2013J","Pass",-59.7671840354767
"80","GGG 2013J","Withdrawn",-64.6363636363636
"81","GGG 2014B","Distinction",-45.625
"82","GGG 2014B","Fail",-39.5921568627451
"83","GGG 2014B","Pass",-42.2942857142857
"84","GGG 2014B","Withdrawn",-48.52
"85","GGG 2014J","Distinction",-51.6220472440945
"86","GGG 2014J","Fail",-34.927374301676
"87","GGG 2014J","Pass",-47.2681388012618
"88","GGG 2014J","Withdrawn",-45.6666666666667
